OU ID,OU Name,Parent ID,Owner ID,Description,Active,Allow Reconciliation,Facility Type,Country,Time Zone,Address #1,Address #2,City,State/Province,Postal Code,Contact,Phone,Fax,Email,Occupancy,Approval Required,On Site
AZREM,Arizona Remote EE,,,,TRUE,TRUE,,US,PNT,Arizona Remote Employee,,Arizona Remote Employee,AZ,99999,,,,,,,
CAREM,California Remote EE,CA,,,TRUE,TRUE,,US,PST,California Remote EE,,,CA,,,,,,,,
COREM,Colorado Remote EE,CO,,,TRUE,TRUE,,US,MST,Colorado Remote EE,,,CO,,,,,,,,
CSHQ,Colorado Springs HQ,CO,,,TRUE,TRUE,,US,MST,1 Olympic Plaza,,Colorado Springs,CO,80909,,,,,,,
CSOPTC,Colorado Springs OPTC,CO,,,TRUE,TRUE,,US,MST,1 Olympic Plaza,,Colorado Springs,CO,80909,,,,,,,
CSOTC,Colorado Springs OTC,CO,,,TRUE,TRUE,,US,MST,1 Olympic Plaza,,Colorado Springs,CO,80909,,,,,,,
CTREM,Connecticut Remote EE,,,,TRUE,TRUE,,US,,Connecticut Remote Employee,,Connecticut Remote Employee,CT,99999,,,,,,,
CVOPTC,Chula Vista OPTC,CA,,,TRUE,TRUE,,US,PST,2800 Olympic Parkway,,Chula Vista,CA,91915,,,,,,,
CVOTC,Chula Vista OTC,CA,,,TRUE,TRUE,,US,PST,2800 Olympic Parkway,,Chula Vista,CA,91915,,,,,,,
DCREM,Washington DC Remote EE,,,,TRUE,TRUE,,US,EST,Washington DC Remote EE,,,DC,,,,,,,,
EAHI,EAHI Athlete,CO,,,TRUE,TRUE,,US,MST,EAHI Athlete,,,CO,,,,,,,,
FLREM,Florida Remote EE,,,,TRUE,TRUE,,US,EST,Florida Remote EE,,Florida,FL,99999,,,,,,,
GAREM,Georgia Remote EE,,,,TRUE,TRUE,,US,EST,Georgia Remote EE,,,GA,,,,,,,,
GOVREL,Government Relations DC,,,,TRUE,TRUE,,US,EST,601 Pennsylvania Ave.,Suite 325 North,Washington,DC,20004,,,,,,,
IDREM,Idaho Remote EE,,,,TRUE,TRUE,,US,MST,Idaho Remote Employee,,Idaho Remote Employee,ID,99999,,,,,,,
ILREM,Illinois Remote EE,,,,TRUE,TRUE,,US,CST,Illinois Remote EE,,,IL,,,,,,,,
KYREM,Kentucky Remote EE,,,,TRUE,TRUE,,US,EST,Kentucky Remote EE,,,KY,,,,,,,,
LPOPTC,Lake Placid OPTC,,,,TRUE,TRUE,,US,EST,196 Old Military Road,,Lake Placid,NY,12946,,,,,,,
LPOTC,Lake Placid OTC,,,,TRUE,TRUE,,US,EST,196 Old Military Road,,Lake Placid,NY,12946,,,,,,,
MAREM,Massachusetts Remote EE,,,,TRUE,TRUE,,US,EST,Massachusetts Remote EE,,,MA,,,,,,,,
MDREM,Maryland Remote EE,,,,TRUE,TRUE,,US,EST,Maryland Remote EE,,,MD,,,,,,,,
MIREM,Michigan Remote EE,,,,TRUE,TRUE,,US,EST,Michigan Remote EE,,,MI,,,,,,,,
MKTG,Marketing NYC,,,,TRUE,TRUE,,US,EST,295 Madison Ave,21st Floor,New York,NY,10017,,,,,,,
MNREM,Minnesota Remote EE,,,,TRUE,TRUE,,US,CST,Minnesota Remote Employee,,Minnesota Remote Employee,MN,99999,,,,,,,
MOREM,Missouri Remote EE,,,,TRUE,TRUE,,US,CST,Missouri Remote Employee,,Missouri Remote Employee,MO,99999,,,,,,,
MSREM,Mississippi Remote EE,,,,TRUE,TRUE,,US,CST,Mississippi Remote Employee,,Mississippi Remote Employee,MO,99999,,,,,,,
MTREM,Montana Remote EE,,,,TRUE,TRUE,,US,MST,Montana Remote EE,,Montana Remote EE,MT,99999,,,,,,,
NJREM,New Jersey Remote EE,,,,TRUE,TRUE,,US,EST,New Jersey Remote EE,,,NJ,,,,,,,,
NYREM,New York Remote EE,,,,TRUE,TRUE,,US,EST,New York Remote EE,,,NY,,,,,,,,
OHREM,Ohio Remote EE,,,,TRUE,TRUE,,US,EST,Ohio Remote EE,,,OH,,,,,,,,
PAREM,Pennsylvania Remote EE,,,,TRUE,TRUE,,US,EST,Pennsylvania Remote EE,,,PA,,,,,,,,
SCREM,South Carolina Remote EE,,,,TRUE,TRUE,,US,EST,South Carolina Remote EE,,,SC,,,,,,,,
SDREM,South Dakota Remote EE,,,,TRUE,TRUE,,US,CST,South Dakota Remote EE,,South Dakota,SD,99999,,,,,,,
TXREM,Texas Remote EE,,,,TRUE,TRUE,,US,CST,Texas Remote EE,,,TX,,,,,,,,
UTREM,Utah Remote EE,,,,TRUE,TRUE,,US,MST,Utah Remote EE,,,UT,,,,,,,,
VAREM,Virginia Remote EE,,,,TRUE,TRUE,,US,EST,Virginia Remote EE,,,VA,,,,,,,,
VTREM,Vermont Remote EE,,,,TRUE,TRUE,,US,EST,Vermont Remote EE,,,VT,,,,,,,,
WAREM,Washington Remote EE,,,,TRUE,TRUE,,US,PST,Washington Remote EE,,,WA,,,,,,,,
