OU ID,OU Name,Parent ID,Owner ID,Description,Active,Allow Reconciliation
2934,"Team Leader, Operations",,,,TRUE,TRUE
J0000,"EAHI",,,,TRUE,TRUE
J1223,"Ops Program Coord - CS",,,,TRUE,TRUE
J1275,"Venue Ops Spec - CS",,,,TRUE,TRUE
J1280,"Production Spec - CS",,,,TRUE,TRUE
J1281,"Production Spec - CS",,,,TRUE,TRUE
J1311,"Facility Spec - CV",,,,TRUE,TRUE
J1316,"Float Chef - CV",,,,TRUE,TRUE
J1317,"Sous Chef - CV",,,,TRUE,TRUE
J1330,"Coord., Operations - CV",,,,TRUE,TRUE
J1332,"Vehicle Driver - CV",,,,TRUE,TRUE
J1359,"Vehicle Driver - LP",,,,TRUE,TRUE
J1375,"Facility Spec - CS",,,,TRUE,TRUE
J1376,"Facility Maint Tech - CS",,,,TRUE,TRUE
J1404,"Aquatics Spec",,,,TRUE,TRUE
J1620,"Ops Spec - CS",,,,TRUE,TRUE
J1621,"Ops Specialist - CS",,,,TRUE,TRUE
J1647,"Desktop Technician II",,,,TRUE,TRUE
J1690,"Venue Ops Spec - CV",,,,TRUE,TRUE
J1789,"Operations Spec - LP",,,,TRUE,TRUE
J1790,"Athlete Career Coach",,,,TRUE,TRUE
J1832,"Service Spec - CS",,,,TRUE,TRUE
J1833,"Service Specialist - CS",,,,TRUE,TRUE
J1845,"Mail Center Spec",,,,TRUE,TRUE
J1859,"Vehicle Driver - CS",,,,TRUE,TRUE
J1882,"Sous Chef - CS",,,,TRUE,TRUE
J1892,"Facility Spec - LP",,,,TRUE,TRUE
J1898,"Coord., Mtg/Event Svc",,,,TRUE,TRUE
J1903,"Float Chef - LP",,,,TRUE,TRUE
J1904,"Float Chef - LP",,,,TRUE,TRUE
J1911,"Service Spec - CV",,,,TRUE,TRUE
J1941,"Production Spec - CV",,,,TRUE,TRUE
J1942,"Prospect Researcher",,,,TRUE,TRUE
J1965,"Velodrome Ops Spec",,,,TRUE,TRUE
J1966,"Velodrome Ops Specialist",,,,TRUE,TRUE
J1975,"Sous Chef - LP",,,,TRUE,TRUE
J1976,"Production Spec - LP",,,,TRUE,TRUE
J1979,"Production Spec - LP",,,,TRUE,TRUE
J2010,"Facilities Att Hskpr - LP",,,,TRUE,TRUE
J2018,"Float Chef - CS",,,,TRUE,TRUE
J2019,"Performance Chef - CS",,,,TRUE,TRUE
J2026,"Coord., Operations - LP",,,,TRUE,TRUE
J2054,"Assistant, Communications",,,,TRUE,TRUE
J2055,"Assistant, Communications",,,,TRUE,TRUE
J2066,"Preditor",,,,TRUE,TRUE
J2081,"Desktop Technician",,,,TRUE,TRUE
J2084,"Sr. Mail Center Spec",,,,TRUE,TRUE
J2125,"Mgr., Training & Dev",,,,TRUE,TRUE
J2210,"Tour Ambassador",,,,TRUE,TRUE
J2213,"Tour Ambassador",,,,TRUE,TRUE
J2214,"Media Logger",,,,TRUE,TRUE
J3002,"Facilities Attendant - LP",,,,TRUE,TRUE
J9000,"Ops Spec, Sports Med",,,,TRUE,TRUE
J9001,"Velodrome/Venue Ops Spec",,,,TRUE,TRUE
J9011,"Intern",,,,TRUE,TRUE
J9012,"Intern",,,,TRUE,TRUE
J9020,"Steward - CS",,,,TRUE,TRUE
J9048,"Ambassador - CS",,,,TRUE,TRUE
J9055,"Service Spec - LP",,,,TRUE,TRUE
J9070,"Steward - CV",,,,TRUE,TRUE
J9110,"Ops Spec - CV",,,,TRUE,TRUE
J9111,"Tour Guide - CV",,,,TRUE,TRUE
J9126,"Content Asst, USOC Prod",,,,TRUE,TRUE
J9132,"Colorado College Intern",,,,TRUE,TRUE
J9180,"Culinary Asst",,,,TRUE,TRUE
J9181,"Culinary Assistant",,,,TRUE,TRUE
J9195,"Jr. Sports Technologist",,,,TRUE,TRUE
J9213,"Games Ops Assistant",,,,TRUE,TRUE
J9214,"Games Volunteer",,,,TRUE,TRUE
P1000,"Chief Executive Officer",,,,TRUE,TRUE
P1001,"Chief Financial Officer",,,,TRUE,TRUE
P1003,"Chief Development Officer",,,,TRUE,TRUE
P1006,"Chief Marketing Officer",,,,TRUE,TRUE
P1007,"Chief Security Officer",,,,TRUE,TRUE
P1009,"Chief of Sport Perf",,,,TRUE,TRUE
P1011,"Managing Dir., Audit",,,,TRUE,TRUE
P1012,"Managing Dir., HR",,,,TRUE,TRUE
P1013,"Managing Dir., IT",,,,TRUE,TRUE
P1014,"Managing Dir., Intl Games",,,,TRUE,TRUE
P1015,"Managing Dir., Govt Rel",,,,TRUE,TRUE
P1018,"Managing Dir., Part Mktg",,,,TRUE,TRUE
P1024,"Team Leader, Sprt Perf II",,,,TRUE,TRUE
P1038,"Controller",,,,TRUE,TRUE
P1040,"Dir., Project Management",,,,TRUE,TRUE
P1041,"Dir., Enterprise Appl",,,,TRUE,TRUE
P1043,"Sr. Dir., Intl Games",,,,TRUE,TRUE
P1044,"Dir., Intl Coop & Policy",,,,TRUE,TRUE
P1045,"Dir., Intl Strategies/Dev",,,,TRUE,TRUE
P1046,"Assoc. Gen. Counsel, NGBs",,,,TRUE,TRUE
P1047,"Assoc. Gen. Counsel, Ops",,,,TRUE,TRUE
P1049,"Assoc. Gen. Counsel, IP",,,,TRUE,TRUE
P1050,"Dir., Partnership Mktg",,,,TRUE,TRUE
P1053,"Dir., Meeting/Event Svcs",,,,TRUE,TRUE
P1057,"Dir., CSOTC",,,,TRUE,TRUE
P1058,"Dir., CVOTC",,,,TRUE,TRUE
P1059,"Dir., LPOTC",,,,TRUE,TRUE
P1062,"Dir., Facility Management",,,,TRUE,TRUE
P1063,"Dir., High Performance",,,,TRUE,TRUE
P1065,"Dir., High Performance",,,,TRUE,TRUE
P1066,"Dir., High Performance",,,,TRUE,TRUE
P1070,"Dir., High Performance",,,,TRUE,TRUE
P1071,"Dir., High Performance",,,,TRUE,TRUE
P1074,"Assoc. Dir., Visitor Ctr ",,,,TRUE,TRUE
P1077,"Dir., Strategic Planning",,,,TRUE,TRUE
P1082,"Assoc. Dir., Govt Rel",,,,TRUE,TRUE
P1086,"Assoc. Dir., Aquat/Venues",,,,TRUE,TRUE
P1087,"Assoc. Dir., F&NS",,,,TRUE,TRUE
P1088,"Assoc. Dir., CVOTC",,,,TRUE,TRUE
P1091,"Sr. Sports Psychologist",,,,TRUE,TRUE
P1092,"Sr. Sports Psychologist",,,,TRUE,TRUE
P1094,"Sr. Sports Physiologist",,,,TRUE,TRUE
